dia,hora_inicio,hora_fin
lunes,0:00:00,1:00:00
lunes,1:00:00,2:00:00
lunes,2:00:00,3:00:00
lunes,3:00:00,4:00:00
lunes,4:00:00,5:00:00
lunes,5:00:00,6:00:00
lunes,6:00:00,7:00:00
lunes,7:00:00,8:00:00
lunes,8:00:00,9:00:00
lunes,9:00:00,10:00:00
lunes,10:00:00,11:00:00
lunes,11:00:00,12:00:00
lunes,12:00:00,13:00:00
lunes,13:00:00,14:00:00
lunes,14:00:00,15:00:00
lunes,15:00:00,16:00:00
lunes,16:00:00,17:00:00
lunes,17:00:00,18:00:00
lunes,18:00:00,19:00:00
lunes,19:00:00,20:00:00
lunes,20:00:00,21:00:00
lunes,21:00:00,22:00:00
lunes,22:00:00,23:00:00
lunes,23:00:00,0:00:00
martes,0:00:00,1:00:00
martes,1:00:00,2:00:00
martes,2:00:00,3:00:00
martes,3:00:00,4:00:00
martes,4:00:00,5:00:00
martes,5:00:00,6:00:00
martes,6:00:00,7:00:00
martes,7:00:00,8:00:00
martes,8:00:00,9:00:00
martes,9:00:00,10:00:00
martes,10:00:00,11:00:00
martes,11:00:00,12:00:00
martes,12:00:00,13:00:00
martes,13:00:00,14:00:00
martes,14:00:00,15:00:00
martes,15:00:00,16:00:00
martes,16:00:00,17:00:00
martes,17:00:00,18:00:00
martes,18:00:00,19:00:00
martes,19:00:00,20:00:00
martes,20:00:00,21:00:00
martes,21:00:00,22:00:00
martes,22:00:00,23:00:00
martes,23:00:00,0:00:00
miercoles,0:00:00,1:00:00
miercoles,1:00:00,2:00:00
miercoles,2:00:00,3:00:00
miercoles,3:00:00,4:00:00
miercoles,4:00:00,5:00:00
miercoles,5:00:00,6:00:00
miercoles,6:00:00,7:00:00
miercoles,7:00:00,8:00:00
miercoles,8:00:00,9:00:00
miercoles,9:00:00,10:00:00
miercoles,10:00:00,11:00:00
miercoles,11:00:00,12:00:00
miercoles,12:00:00,13:00:00
miercoles,13:00:00,14:00:00
miercoles,14:00:00,15:00:00
miercoles,15:00:00,16:00:00
miercoles,16:00:00,17:00:00
miercoles,17:00:00,18:00:00
miercoles,18:00:00,19:00:00
miercoles,19:00:00,20:00:00
miercoles,20:00:00,21:00:00
miercoles,21:00:00,22:00:00
miercoles,22:00:00,23:00:00
miercoles,23:00:00,0:00:00
jueves,0:00:00,1:00:00
jueves,1:00:00,2:00:00
jueves,2:00:00,3:00:00
jueves,3:00:00,4:00:00
jueves,4:00:00,5:00:00
jueves,5:00:00,6:00:00
jueves,6:00:00,7:00:00
jueves,7:00:00,8:00:00
jueves,8:00:00,9:00:00
jueves,9:00:00,10:00:00
jueves,10:00:00,11:00:00
jueves,11:00:00,12:00:00
jueves,12:00:00,13:00:00
jueves,13:00:00,14:00:00
jueves,14:00:00,15:00:00
jueves,15:00:00,16:00:00
jueves,16:00:00,17:00:00
jueves,17:00:00,18:00:00
jueves,18:00:00,19:00:00
jueves,19:00:00,20:00:00
jueves,20:00:00,21:00:00
jueves,21:00:00,22:00:00
jueves,22:00:00,23:00:00
jueves,23:00:00,0:00:00
viernes,0:00:00,1:00:00
viernes,1:00:00,2:00:00
viernes,2:00:00,3:00:00
viernes,3:00:00,4:00:00
viernes,4:00:00,5:00:00
viernes,5:00:00,6:00:00
viernes,6:00:00,7:00:00
viernes,7:00:00,8:00:00
viernes,8:00:00,9:00:00
viernes,9:00:00,10:00:00
viernes,10:00:00,11:00:00
viernes,11:00:00,12:00:00
viernes,12:00:00,13:00:00
viernes,13:00:00,14:00:00
viernes,14:00:00,15:00:00
viernes,15:00:00,16:00:00
viernes,16:00:00,17:00:00
viernes,17:00:00,18:00:00
viernes,18:00:00,19:00:00
viernes,19:00:00,20:00:00
viernes,20:00:00,21:00:00
viernes,21:00:00,22:00:00
viernes,22:00:00,23:00:00
viernes,23:00:00,0:00:00
sábado,0:00:00,1:00:00
sábado,1:00:00,2:00:00
sábado,2:00:00,3:00:00
sábado,3:00:00,4:00:00
sábado,4:00:00,5:00:00
sábado,5:00:00,6:00:00
sábado,6:00:00,7:00:00
sábado,7:00:00,8:00:00
sábado,8:00:00,9:00:00
sábado,9:00:00,10:00:00
sábado,10:00:00,11:00:00
sábado,11:00:00,12:00:00
sábado,12:00:00,13:00:00
sábado,13:00:00,14:00:00
sábado,14:00:00,15:00:00
sábado,15:00:00,16:00:00
sábado,16:00:00,17:00:00
sábado,17:00:00,18:00:00
sábado,18:00:00,19:00:00
sábado,19:00:00,20:00:00
sábado,20:00:00,21:00:00
sábado,21:00:00,22:00:00
sábado,22:00:00,23:00:00
sábado,23:00:00,0:00:00